Exercise Name,Muscle Group,Equipment Type,Level,Description,Primary Muscles,Secondary Muscles
Cable Crossover,CHEST,Cable,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Pectoralis major,"Anterior deltoids, triceps"
Cable Cross Over,CHEST,Cable,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Pectoralis major,"Anterior deltoids, triceps"
Dumbbell Bench Press,CHEST,Dumbbell,Intermediate,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Incline Dumbbell Bench Press,CHEST,Dumbbell,Intermediate,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Incline Barbell Bench Press,CHEST,Barbell,Advanced,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Chest Fly,CHEST,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Pectoralis major,"Anterior deltoids, triceps"
Incline Chest Fly,CHEST,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Pectoralis major,"Anterior deltoids, triceps"
Decline Bench Press Barbell,CHEST,Barbell,Advanced,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Decline Bench Press Dumbbell,CHEST,Dumbbell,Intermediate,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Incline Bench Press Machine,CHEST,Machine,Beginner,Presses weight away from the chest while lying on a bench to develop chest strength and upper-body pushing power.,Pectoralis major,"Anterior deltoids, triceps"
Cable Lat Pulldown,BACK,Cable,Beginner,Pulls the bar downward toward the chest to target back width and strengthen the lats.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Bent Over 1 Arm Rows,BACK,Mixed,Intermediate,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Pull Ups,BACK,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Back Extension,BACK,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Seated Row Cable,BACK,Cable,Intermediate,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
T-Bar Row,BACK,Barbell,Advanced,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Bent Over Dumbbell Rows,BACK,Dumbbell,Intermediate,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Plated Seated Row,BACK,Mixed,Advanced,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Shrugs Machine,BACK,Machine,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Rack Pull Barbell,BACK,Barbell,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Back Reverse Flys,BACK,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Bicep Curl Machine,BICEPS,Machine,Beginner,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Concentrated Bicep Curl,BICEPS,Mixed,Intermediate,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Standing Bicep Curl,BICEPS,Mixed,Beginner,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Hammer Curls,BICEPS,Mixed,Intermediate,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Incline Bicep Curls,BICEPS,Mixed,Intermediate,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Preacher Curl Dumbbell,BICEPS,Dumbbell,Advanced,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Preacher Curl Barbell,BICEPS,Barbell,Advanced,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Preacher Curl Machine,BICEPS,Machine,Advanced,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Reverse Curl,BICEPS,Mixed,Advanced,Flexes the elbow against resistance to build arm strength and biceps size through controlled contraction.,Biceps brachii,"Brachialis, forearms"
Bench Dip,TRICEPS,Bodyweight,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Triceps brachii,"Shoulders, forearms"
Standing Tricep Extension,TRICEPS,Mixed,Beginner,Extends the elbows against resistance to isolate and strengthen the triceps muscles.,Triceps brachii,"Shoulders, forearms"
Tricep 1 Arm Extension,TRICEPS,Mixed,Beginner,Extends the elbows against resistance to isolate and strengthen the triceps muscles.,Triceps brachii,"Shoulders, forearms"
Tricep Barbell Extension,TRICEPS,Barbell,Advanced,Extends the elbows against resistance to isolate and strengthen the triceps muscles.,Triceps brachii,"Shoulders, forearms"
Tricep Cable Extension,TRICEPS,Cable,Beginner,Extends the elbows against resistance to isolate and strengthen the triceps muscles.,Triceps brachii,"Shoulders, forearms"
Tricep Pushdown (Cable),TRICEPS,Cable,Intermediate,Extends the elbows against resistance to isolate and strengthen the triceps muscles.,Triceps brachii,"Shoulders, forearms"
Push Ups,CHEST/TRICEPS,Bodyweight,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Pectoralis major, triceps",Anterior deltoids
Dips,CHEST/TRICEPS,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Pectoralis major, triceps",Anterior deltoids
Assisted Dip,BACK,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,"Latissimus dorsi, upper back","Biceps, rear deltoids"
Leg Raises,CORE,Mixed,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Crunch Machine,CORE,Machine,Beginner,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Ab Wheel,CORE,Mixed,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Cable Crunch,CORE,Cable,Advanced,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Cross Body Crunch,CORE,Bodyweight,Beginner,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Crunch,CORE,Mixed,Beginner,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Crunch Stability Ball,CORE,Mixed,Intermediate,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Decline Crunch,CORE,Mixed,Advanced,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Flat Knee Raise,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Hanging Knee Raise,CORE,Mixed,Advanced,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Jackknife Sit Up,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Knee Raise Captains Chair,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Plank,CORE,Bodyweight,Intermediate,Holds a braced core position to improve abdominal strength and spinal stability.,Abdominals,"Hip flexors, lower back"
Reverse Crunch,CORE,Mixed,Intermediate,Flexes the torso to directly engage the abdominal muscles with controlled movement.,Abdominals,"Hip flexors, lower back"
Russian Twist,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Sit Ups,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Toes to Bar,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
V Up,CORE,Mixed,Intermediate,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Abdominals,"Hip flexors, lower back"
Elliptical Machine,CARDIO,Machine,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Cardiovascular system,Full-body muscular endurance
Cycling Machine,CARDIO,Machine,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Cardiovascular system,Full-body muscular endurance
Rowing Machine,CARDIO,Machine,Beginner,Pulls resistance toward the torso to build back thickness and improve upper-body pulling strength.,Cardiovascular system,Full-body muscular endurance
Skipping Rope,CARDIO,Mixed,Beginner,Performs a controlled resistance movement to strengthen the targeted muscle group and improve muscular coordination.,Cardiovascular system,Full-body muscular endurance
Treadmill Run,CARDIO,Machine,Beginner,Sustained rhythmic movement designed to elevate heart rate and improve cardiovascular endurance.,Cardiovascular system,Full-body muscular endurance
