Exercise Name,Muscle Group,Equipment Type,Level,Description
Cable Rope Crunch,Core,Cable,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Cable Rope Overhead Extension,Triceps,Cable,Beginner,"Extend joint against resistance, then return slowly to start position."
Calf Press on Leg Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Chest Fly,Chest,Mixed,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Chest Press Machine,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Concentrated Bicep Curl,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Cross Body Crunch,Core,Bodyweight,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Cross-Body Hammer Curl,Biceps,Bodyweight,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Crunch,Core,Mixed,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Crunch Machine,Core,Machine,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Crunch Stability Ball,Core,Mixed,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Cycling Machine,Full Body,Machine,Beginner,"Adjust seat and settings, move handles or pads through full controlled range."
Decline Ab Bench (Weighted),Chest,Mixed,Beginner,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Decline Bench Press Barbell,Chest,Barbell,Advanced,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Decline Bench Press Dumbbell,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Decline Crunch,Core,Mixed,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Decline Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dips,Triceps,Mixed,Beginner,"Lower body by bending elbows, then press back up until arms are straight."
Dumbbell Bench Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Bicep Curl,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Dumbbell Bicep Curls,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Dumbbell Clean and Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Clean to Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Concentration Curl,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Dumbbell Deadlift,Back,Dumbbell,Advanced,"Hinge at hips with a flat back, lower weight toward floor, then extend hips to stand tall."
Dumbbell Deadlift to Row,Back,Dumbbell,Advanced,"Hinge at hips with a flat back, lower weight toward floor, then extend hips to stand tall."
Dumbbell Deadlift to Squat Combo,Back,Dumbbell,Advanced,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Dumbbell Flyes (Flat Bench),Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Front Raise,Shoulders,Dumbbell,Intermediate,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Dumbbell Front Squat,Legs,Dumbbell,Intermediate,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Dumbbell Hammer Curl,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Dumbbell Jump Squat,Legs,Dumbbell,Intermediate,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Dumbbell Kickback,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Lateral Raise,Back,Dumbbell,Intermediate,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Dumbbell Leg Raise Hold,Legs,Dumbbell,Intermediate,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Dumbbell Lunge,Legs,Dumbbell,Intermediate,"Step forward or backward, lower rear knee toward floor, then push back to start."
Dumbbell Pullover,Back,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Pullover (Back Focus),Back,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Rear Delt Fly,Chest,Dumbbell,Intermediate,"Move arms in wide arc to bring hands together, then return slowly."
Dumbbell Reverse Fly,Chest,Dumbbell,Intermediate,"Move arms in wide arc to bring hands together, then return slowly."
Dumbbell Romanian Deadlift,Back,Dumbbell,Advanced,"Hinge at hips with a flat back, lower weight toward floor, then extend hips to stand tall."
Dumbbell Russian Twist,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Shoulder Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Shrugs,Back,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Side Bend,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Skull Crusher,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Snatch,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Squat to Press,Chest,Dumbbell,Intermediate,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Dumbbell Squeeze Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Dumbbell Step-Up,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Thruster,Legs,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Upright Row,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Dumbbell V-Sit Twist,Core,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Dumbbell Windmill,Full Body,Dumbbell,Intermediate,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Elliptical Machine,Cardio,Machine,Beginner,"Adjust seat and settings, move handles or pads through full controlled range."
Face Pull Cable,Back,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Flat Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Flat Knee Raise,Back,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Front Raise Barbell,Shoulders,Barbell,Advanced,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Front Raise Dumbbell,Shoulders,Dumbbell,Intermediate,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Front Raise Plate,Back,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Goblet Squat,Legs,Mixed,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Hack Squat Machine,Legs,Machine,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Hammer Curls,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Hanging Knee Raise,Shoulders,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Hip Thrust,Legs,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Incline Barbell Bench Press,Chest,Barbell,Advanced,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Incline Bench Press Machine,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Incline Bicep Curls,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Incline Chest Fly,Chest,Mixed,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Incline Chest Press Machine,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Incline Dumbbell Bench Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Incline Dumbbell Curl,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Incline Dumbbell Fly,Chest,Dumbbell,Intermediate,"Move arms in wide arc to bring hands together, then return slowly."
Incline Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Incline Dumbbell Row,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Iso-Lateral Bicep Curl Machine,Biceps,Machine,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Iso-Lateral Chest Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Iso-Lateral Row Machine,Back,Machine,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Iso-Lateral Shoulder Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Jackknife Sit Up,Core,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Knee Raise Captains Chair,Shoulders,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Lat Pulldown,Back,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Lateral Raise Machine,Back,Machine,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Leg Abductors,Legs,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Leg Adduction,Legs,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Leg Extension,Triceps,Mixed,Beginner,"Extend joint against resistance, then return slowly to start position."
Leg Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Leg Raises,Legs,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Leverage Squat Machine,Legs,Machine,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Lying Leg Curl Machine,Biceps,Machine,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Machine Chest Press + Row Combo,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Neutral Grip Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
One-Arm Dumbbell Row,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Overhead Dumbbell Tricep Extension,Triceps,Dumbbell,Intermediate,"Extend joint against resistance, then return slowly to start position."
Pec Deck (Butterfly Machine),Chest,Machine,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Plank,Core,Bodyweight,Beginner,Hold body in a straight line while bracing core and supporting on elbows or hands.
Plate Shoulder Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Plate-Loaded Row Machine,Back,Machine,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Plated Seated Row,Back,Mixed,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Preacher Curl Barbell,Biceps,Barbell,Advanced,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Preacher Curl Dumbbell,Biceps,Dumbbell,Intermediate,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Preacher Curl Machine,Biceps,Machine,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Pull Ups,Back,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Push Ups,Full Body,Bodyweight,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Rack Pull Barbell,Back,Barbell,Advanced,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Renegade Rows,Back,Mixed,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Reverse Crunch,Core,Mixed,Beginner,"Contract core to lift shoulders off the floor, then lower under control."
Reverse Curl,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Reverse Grip Cable Pushdown,Triceps,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Reverse Grip Lat Pulldown,Back,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Reverse Pec Deck (Rear Delt Machine),Full Body,Machine,Beginner,"Adjust seat and settings, move handles or pads through full controlled range."
Romanian Deadlift,Back,Mixed,Advanced,"Hinge at hips with a flat back, lower weight toward floor, then extend hips to stand tall."
Rowing Machine,Back,Machine,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Russian Twist,Full Body,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Seated Chest Fly Machine,Chest,Machine,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Seated Dumbbell Lateral Raise Dropset,Back,Dumbbell,Intermediate,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Seated Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Seated Leg Curl,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Seated Leg Press Machine,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Seated Row Cable,Back,Cable,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Seated Row Machine,Back,Machine,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Shoulder Press Machine,Chest,Machine,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Shrugs Machine,Back,Machine,Beginner,"Adjust seat and settings, move handles or pads through full controlled range."
Single-Arm Cable Fly,Chest,Cable,Beginner,"Move arms in wide arc to bring hands together, then return slowly."
Single-Arm Dumbbell High Row,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Sit Ups,Core,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Skipping Rope,Cardio,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Smith Machine Squat,Legs,Machine,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Squat Smith Machine,Legs,Machine,Beginner,"Stand with feet shoulder-width apart, lower hips by bending knees, then drive through heels to stand."
Standing Bicep Curl,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
Standing Calf Raise Machine,Legs,Machine,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Standing Calf Raises,Legs,Mixed,Beginner,"Lift weight or limbs to target muscle, pause briefly, then lower slowly."
Standing Dumbbell Press,Chest,Dumbbell,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Standing Shoulder Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Standing Tricep Extension,Triceps,Mixed,Beginner,"Extend joint against resistance, then return slowly to start position."
T-Bar Row,Back,Mixed,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
Toes to Bar,Core,Mixed,Advanced,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Trap Bar Deadlift,Back,Mixed,Advanced,"Hinge at hips with a flat back, lower weight toward floor, then extend hips to stand tall."
Treadmill Run,Cardio,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Tricep 1 Arm Extension,Triceps,Mixed,Beginner,"Extend joint against resistance, then return slowly to start position."
Tricep Barbell Extension,Triceps,Barbell,Advanced,"Extend joint against resistance, then return slowly to start position."
Tricep Cable Extension,Triceps,Cable,Beginner,"Extend joint against resistance, then return slowly to start position."
Tricep Pushdown (Cable),Triceps,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Tricep Pushdown Cable,Triceps,Cable,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Upright Row Barbell,Back,Barbell,Advanced,"Pull weight toward torso by driving elbows back, then return with control."
Upright Row Dumbbell,Back,Dumbbell,Intermediate,"Pull weight toward torso by driving elbows back, then return with control."
V Up,Core,Mixed,Advanced,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Vertical Leg Press,Chest,Mixed,Intermediate,"Lower weight under control to chest or shoulders, then press upward until arms are extended."
Walking Lunge,Legs,Mixed,Beginner,"Step forward or backward, lower rear knee toward floor, then push back to start."
Weighted Pull-Up (Machine or Band),Back,Machine,Beginner,"Hang from bar, pull chest toward bar, then lower with control."
Weighted Sit-Up,Core,Mixed,Beginner,Perform the movement through a controlled full range of motion targeting the listed muscle group.
Zottman Curl,Biceps,Mixed,Beginner,"Hold weight with arms extended, curl by bending elbows, then lower slowly."
